"ID_PEDIDO";"PEDDTEMIS";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"TRANSITIONS";"PDPDESCRICAO";"PEDAUTORIZOU";"FISCODIGO";"QTD";"VRVENDA"
13621197;2023-09-15;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2386        ";0;"VARILUX XR DESIGN FIT EYE STYLIS 1.67 BLUE UV";"KAREN";"5.91V  ";2;433,26
13621244;2023-09-15;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"KAREN";"5.101  ";2;200,04
13636720;2023-09-22;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"ERNANDE";"5.91V  ";2;234,02
13636746;2023-09-22;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"ERNANDE";"5.101  ";2;166,42
13640515;2023-09-25;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2384        ";1;"VARILUX XR DESIGN FIT EYE AIRWEAR TGEN8 CINZA";"ANDREIA";"5.91V  ";2;335,37
13640592;2023-09-25;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2384        ";1;"VARILUX XR DESIGN FIT EYE AIRWEAR TGEN8 CINZA";"ANDREIA";"5.101  ";2;247,55
13667057;2023-10-06;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2398        ";1;"VARILUX XR TRACK AIRWEAR TGEN8 CINZA";"ERNANDE";"5.91V  ";2;335,37
13667085;2023-10-06;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2398        ";1;"VARILUX XR TRACK AIRWEAR TGEN8 CINZA";"ERNANDE";"5.101  ";2;241,78
13706887;2023-10-26;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2415        ";1;"VARILUX XR PRO STYLIS 1.67 TGEN8 CINZA";"ERNANDE";"5.91V  ";2;584,91
13706962;2023-10-26;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2415        ";1;"VARILUX XR PRO STYLIS 1.67 TGEN8 CINZA";"ERNANDE";"5.101  ";2;246,14
13716664;2023-10-31;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2413        ";0;"VARILUX XR PRO AIRWEAR BLUE UV";"EMANUELLE";"5.91V  ";2;241,2
13716666;2023-10-31;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2413        ";0;"VARILUX XR PRO AIRWEAR BLUE UV";"EMANUELLE";"5.101  ";2;244,41
