"ID_PEDIDO";"PEDDTEMIS";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"TRANSITIONS";"PDPDESCRICAO";"PEDAUTORIZOU";"FISCODIGO";"QTD";"VRVENDA"
13752896;2023-11-20;2263;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"ALICE";"5.101  ";2;624,78
13753239;2023-11-20;839;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ADRIANE";"5.101  ";2;520,26
13753271;2023-11-20;839;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ADRIANE";"5.101  ";2;138,95
13757775;2023-11-21;839;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ADRIANE";"5.101  ";2;308
13758386;2023-11-21;839;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ADRIANE";"5.101  ";2;533,2
13758413;2023-11-21;839;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ADRIANE";"5.101  ";2;182,24
13758820;2023-11-21;2263;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ALICE";"5.101  ";2;266,6
13780166;2023-11-30;2263;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ALICE";"5.101  ";2;533,2
13785531;2023-12-04;839;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"ADRIANE";"5.101  ";2;312,39
13791625;2023-12-05;4734;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BÁRBARA";"5.101  ";2;260,13
13797848;2023-12-07;839;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ADRIANE";"5.101  ";2;266,6
13805037;2023-12-11;839;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2413        ";0;"VARILUX XR PRO AIRWEAR BLUE UV";"ADRIANE";"5.101  ";2;766,35
13809025;2023-12-12;2263;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ALICE";"5.101  ";2;308
13811397;2023-12-12;839;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ADRIANE";"5.101  ";2;266,6
13818373;2023-12-15;4734;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"ALICE";"5.91V  ";2;241,9
13821865;2023-12-16;2263;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"ALICE";"5.101  ";2;692,64
13823567;2023-12-18;2263;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ALICE";"5.101  ";2;276,51
13826805;2023-12-19;2263;151;"SETOR 3 - CHAPECO - OESTE - RS";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"ALICE";"5.101  ";2;432,12
