"ID_PEDIDO";"PEDDTBAIXA";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"PDPDESCRICAO";"PEDAUTORIZOU";"QTD";"VRVENDA";"CPF"
13644466;2023-10-02;1762;51;"SETOR 4 - JOINVILLE - NORTE";"LD2094        ";"NEW VISION GOLD 1.50";"KELLY";2;109,9;""
13646585;2023-10-04;4742;51;"SETOR 5 - BLUMENAU - VALE";"LD2107        ";"NEW VISION INDIVIDUAL 1.50";"JEAN";2;183,4;""
13648553;2023-10-02;1762;51;"SETOR 4 - JOINVILLE - NORTE";"LD2200        ";"NEW VISION X SMART 1.50";"KELLY";2;183,4;""
13649023;2023-10-05;311;51;"SETOR 4 - JOINVILLE - NORTE";"LD2094        ";"NEW VISION GOLD 1.50";"MAICON";2;109,9;""
13649035;2023-10-04;311;51;"SETOR 4 - JOINVILLE - NORTE";"LD2181        ";"NEW VISION START 1.50";"MAICON";2;84,7;""
13649048;2023-10-02;311;51;"SETOR 4 - JOINVILLE - NORTE";"LD2181        ";"NEW VISION START 1.50";"MAICON";2;84,7;""
13649523;2023-10-02;311;51;"SETOR 4 - JOINVILLE - NORTE";"LD2181        ";"NEW VISION START 1.50";"MAICON";2;84,7;""
13649545;2023-10-02;311;51;"SETOR 4 - JOINVILLE - NORTE";"LD2181        ";"NEW VISION START 1.50";"MAICON";2;84,7;""
13649847;2023-10-05;1762;51;"SETOR 4 - JOINVILLE - NORTE";"LD2094        ";"NEW VISION GOLD 1.50";"VALERIA";2;109,9;""
13649867;2023-10-04;1762;51;"SETOR 4 - JOINVILLE - NORTE";"LD2094        ";"NEW VISION GOLD 1.50";"VALERIA";2;109,9;""
13650225;2023-10-04;1080;51;"SETOR 5 - BLUMENAU - VALE";"LD2181        ";"NEW VISION START 1.50";"JEAN";2;84,7;""
13650278;2023-10-04;4742;51;"SETOR 5 - BLUMENAU - VALE";"LD2088        ";"NEW VISION PLUS 1.50";"JEAN";2;84,7;""
13650305;2023-10-02;4742;51;"SETOR 5 - BLUMENAU - VALE";"LD2094        ";"NEW VISION GOLD 1.50";"JEAN";2;109,9;""
13652086;2023-10-03;311;51;"SETOR 4 - JOINVILLE - NORTE";"LD2107        ";"NEW VISION INDIVIDUAL 1.50";"MAICON";2;183,4;""
13652111;2023-10-05;311;51;"SETOR 4 - JOINVILLE - NORTE";"LD2107        ";"NEW VISION INDIVIDUAL 1.50";"MAICON";2;183,4;""
13652129;2023-10-05;311;51;"SETOR 4 - JOINVILLE - NORTE";"LD2107        ";"NEW VISION INDIVIDUAL 1.50";"MAICON";2;183,4;""
13652294;2023-10-03;1080;51;"SETOR 5 - BLUMENAU - VALE";"LD2196        ";"NEW VISION PREMIUM 1.59";"JEAN";2;178,5;""
13652306;2023-10-03;1080;51;"SETOR 5 - BLUMENAU - VALE";"LD2196        ";"NEW VISION PREMIUM 1.59";"JEAN";2;178,5;""
13652654;2023-10-03;4742;51;"SETOR 5 - BLUMENAU - VALE";"LD2193        ";"NEW VISION PREMIUM 1.50";"JEAN";2;138,6;""
13652668;2023-10-03;4742;51;"SETOR 5 - BLUMENAU - VALE";"LD2193        ";"NEW VISION PREMIUM 1.50";"JEAN";2;138,6;""
13654421;2023-10-03;311;51;"SETOR 4 - JOINVILLE - NORTE";"LD2178        ";"NEW VISION SOFT 1.50 FOTO";"PATRICIA";2;143,5;""
