"ID_PEDIDO";"PEDDTEMIS";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"TRANSITIONS";"PDPDESCRICAO";"PEDAUTORIZOU";"FISCODIGO";"QTD";"VRVENDA"
13591807;2023-09-01;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2372        ";0;"VARILUX XR DESIGN STYLIS 1.67 BLUE UV";"KIM-MARLON ";"5.101  ";2;179,38
13593199;2023-09-01;450;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"SONIA";"5.101  ";2;653,66
13594194;2023-09-02;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BERNARDO";"6.101  ";2;604,2
13594320;2023-09-02;450;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"SONIA";"5.101  ";2;653,66
13594866;2023-09-04;1903;56;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"ANNA";"5.101  ";2;743,82
13594885;2023-09-04;1903;56;"SETOR 5 - BLUMENAU - VALE";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"ANNA";"5.101  ";2;200,04
13595360;2023-09-04;1464;;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BARBARA";"5.101  ";2;709
13595386;2023-09-04;1464;;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BARBARA";"5.101  ";2;160,84
13595664;2023-09-04;1464;;"SETOR 5 - BLUMENAU - VALE";"LD2374        ";0;"VARILUX XR DESIGN STY 1.74 BLUE UV";"BARBARA";"5.102  ";2;1744
13595688;2023-09-04;1464;;"SETOR 5 - BLUMENAU - VALE";"LD2374        ";0;"VARILUX XR DESIGN STY 1.74 BLUE UV";"BARBARA";"5.102  ";2;195,25
13595813;2023-09-04;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BERNARDO";"6.101  ";2;604,2
13596394;2023-09-04;1903;56;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ANNA";"5.101  ";2;653,66
13596422;2023-09-04;1903;56;"SETOR 5 - BLUMENAU - VALE";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"ANNA";"5.101  ";2;190,18
13597666;2023-09-04;709;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2407        ";0;"VARILUX XR PRO ORMA BLUE UV";"A";"6.101  ";2;249,87
13598154;2023-09-05;1270;;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"RAFAEL";"5.101  ";2;795
13598169;2023-09-05;1270;;"SETOR 5 - BLUMENAU - VALE";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"RAFAEL";"5.101  ";2;190,18
13598259;2023-09-05;290;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"GERVASIO";"5.101  ";2;1202
13598284;2023-09-05;290;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"GERVASIO";"5.101  ";2;203,03
13598729;2023-09-05;163;12;"SETOR 4 - JOINVILLE - NORTE";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";;"5.101  ";2;180,52
13599845;2023-09-05;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"BERNARDO";"6.101  ";2;842,08
13600707;2023-09-05;214;;"SETOR 6 - B CAMBORIU - LITORAL";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"33680390";"5.101  ";2;906
13601204;2023-09-06;47;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2363        ";1;"VARILUX XR DESIGN ORMA TGEN8 MARROM";"MARCELO";"5.101  ";2;554
13601769;2023-09-06;1281;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2364        ";1;"VARILUX XR DESIGN ORMA TGEN8 VERDE";"SILVANA";"6.101  ";2;959,42
13602063;2023-09-06;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2491        ";0;"VARILUX XR PRO AIRWEAR COLOR";"SANDRA - JANE";"5.101  ";2;222,98
13602125;2023-09-06;1281;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2364        ";1;"VARILUX XR DESIGN ORMA TGEN8 VERDE";"SILVANA";"6.101  ";2;249,74
13602528;2023-09-06;47;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"MARCELO";"5.101  ";2;249,77
13603373;2023-09-06;709;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2389        ";0;"VARILUX XR TRACK ORMA XPERIO CINZA";"A";"6.101  ";2;249,99
13604470;2023-09-08;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"BERNARDO";"6.101  ";2;775,96
13607162;2023-09-11;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BERNARDO";"6.101  ";2;302,1
13607830;2023-09-11;709;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2393        ";0;"VARILUX XR TRACK ORMA BLUE UV";"A";"6.101  ";2;458,5
13611036;2023-09-12;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2408        ";1;"VARILUX XR PRO ORMA TGEN8 CINZA";"JOSE- JANE";"5.101  ";2;201,03
13611130;2023-09-12;709;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2410        ";0;"VARILUX XR PRO AIRWEAR XPERIO CINZA";"A";"6.101  ";2;249,99
13612337;2023-09-12;450;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"SONIA";"5.101  ";2;326,83
13612356;2023-09-12;47;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MARCELO";"5.101  ";2;397,5
13612501;2023-09-12;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2410        ";0;"VARILUX XR PRO AIRWEAR XPERIO CINZA";"ROSEMERI - JANE";"5.101  ";2;245,62
13614212;2023-09-13;709;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2415        ";1;"VARILUX XR PRO STYLIS 1.67 TGEN8 CINZA";"A";"6.101  ";2;2871
13614257;2023-09-13;709;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2415        ";1;"VARILUX XR PRO STYLIS 1.67 TGEN8 CINZA";"A";"6.101  ";2;249,91
13614770;2023-09-13;290;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"RAFAELA";"5.101  ";2;667
13614810;2023-09-13;290;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"RAFAELA";"5.101  ";2;234,2
13615909;2023-09-13;290;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"GERVASIO";"5.101  ";2;1072
13615927;2023-09-13;290;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"GERVASIO";"5.101  ";2;239,93
13616259;2023-09-13;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2373        ";1;"VARILUX XR DESIGN STYLIS 1.67 TGEN8 CINZA";"KIM-CRISTA";"5.101  ";2;189,41
13617734;2023-09-14;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2395        ";0;"VARILUX XR TRACK AIRWEAR XPERIO MARROM";"SAMARA- IVONE";"5.101  ";2;241,77
13619072;2023-09-14;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BERNARDO";"6.101  ";2;506,92
13619955;2023-09-15;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BERNARDO";"6.101  ";2;604,2
13621244;2023-09-15;1704;;"SETOR 1 - FLORIANOPOLIS REDES";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"KAREN";"5.101  ";2;200,04
