"ID_PEDIDO";"PEDDTEMIS";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"TRANSITIONS";"PDPDESCRICAO";"PEDAUTORIZOU";"FISCODIGO";"QTD";"VRVENDA"
13585961;2023-08-30;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"DIANESSA";"5.101  ";2;560,28
13585976;2023-08-30;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2361        ";0;"VARILUX XR DESIGN ORMA XPERIO CINZA";"DIANESSA";"5.102  ";2;181,26
13588995;2023-08-31;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"LUANA";"5.101  ";2;637,56
13589058;2023-08-31;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"DIANESSA";"5.101  ";2;637,56
13589071;2023-08-31;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"DIANESSA";"5.101  ";2;206,51
13589072;2023-08-31;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"LUANA";"5.101  ";2;199,96
13589139;2023-08-31;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"LUANA";"5.101  ";2;637,56
13589166;2023-08-31;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"LUANA";"5.101  ";2;200,04
13589642;2023-08-31;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"INDIANARA BORG";"5.101  ";2;900,48
13589660;2023-08-31;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"INDIANARA BORG";"5.101  ";2;239,93
13589926;2023-08-31;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;560,28
13589956;2023-08-31;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;234,2
13590245;2023-08-31;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"INDIANARA BORG";"5.101  ";2;637,56
13590274;2023-08-31;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"INDIANARA BORG";"5.101  ";2;194,91
13592220;2023-09-01;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"MAYARA";"5.101  ";2;900,48
13592234;2023-09-01;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"MAYARA";"5.101  ";2;211,07
13592338;2023-09-01;3324;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ANA PAULA";"5.101  ";2;560,28
13592384;2023-09-01;3324;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ANA PAULA";"5.101  ";2;234,2
13593072;2023-09-01;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2379        ";0;"VARILUX XR DESIGN FIT EYE ORMA BLUE UV";"BRUNA";"5.101  ";2;560,28
13593094;2023-09-01;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2418        ";0;"VARILUX XR DESIGN FIT EYE ORMA COLOR";"BRUNA";"5.101  ";2;115,71
13595681;2023-09-04;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"INDIANARA BORG";"5.101  ";2;318,78
13595872;2023-09-04;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2379        ";0;"VARILUX XR DESIGN FIT EYE ORMA BLUE UV";"BRUNA";"5.101  ";2;560,28
13595893;2023-09-04;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2379        ";0;"VARILUX XR DESIGN FIT EYE ORMA BLUE UV";"BRUNA";"5.101  ";2;234,2
13597068;2023-09-04;3324;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"CAROL MAYER";"5.101  ";2;637,56
13602321;2023-09-06;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"INDIANARA BORG";"5.101  ";2;318,78
13602474;2023-09-06;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2393        ";0;"VARILUX XR TRACK ORMA BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;770,28
13602509;2023-09-06;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2420        ";0;"VARILUX XR TRACK ORMA COLOR";"JULIANA CARDOSO ";"5.101  ";2;201,43
13602527;2023-09-06;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MAYARA";"5.101  ";2;560,28
13604640;2023-09-08;4154;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ANA CAROLINA";"5.101  ";2;280,14
13605183;2023-09-08;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"VINICIOSS";"5.101  ";2;560,28
13605250;2023-09-08;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"VINICIOSS";"5.101  ";2;115,71
13605373;2023-09-08;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"VINICIOSS";"5.101  ";2;560,28
13605397;2023-09-08;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"VINICIOSS";"5.101  ";2;234,2
13608216;2023-09-11;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MAYARA";"5.101  ";2;560,28
13608280;2023-09-11;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"MAYARA";"5.101  ";2;115,71
13608653;2023-09-11;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MAYARA";"5.101  ";2;560,28
13608662;2023-09-11;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"MAYARA";"5.101  ";2;195,56
13609857;2023-09-11;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MAYARA";"5.101  ";2;560,28
13609890;2023-09-11;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"MAYARA";"5.101  ";2;195,56
13614421;2023-09-13;3324;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"CAROL MAYER";"5.101  ";2;219,71
13619369;2023-09-14;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"MAYARA";"5.101  ";2;1009,68
13620126;2023-09-15;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MAYARA";"5.101  ";2;667,8
13620959;2023-09-15;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MAYARA";"5.101  ";2;667,8
13622887;2023-09-16;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"LUANA";"5.101  ";2;428,82
13622913;2023-09-16;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"LUANA";"5.101  ";2;900,48
13622931;2023-09-16;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"LUANA";"5.101  ";2;239,93
13622944;2023-09-16;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"LUANA";"5.101  ";2;637,56
13622945;2023-09-16;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"LUANA";"5.101  ";2;236,01
13624890;2023-09-18;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"LUANA";"5.101  ";2;486,91
13624912;2023-09-18;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"LUANA";"5.101  ";2;234,2
13625911;2023-09-18;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MAYARA";"5.101  ";2;290,17
13625977;2023-09-18;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MAYARA";"5.101  ";2;290,17
13629927;2023-09-19;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"LUANA";"5.101  ";2;486,91
13632433;2023-09-20;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;554,07
13632479;2023-09-20;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;236,01
13633137;2023-09-21;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MAYARA";"5.101  ";2;290,17
